# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+03:43:23 |   6   1   1   1  80  93   0   0   0 | [803, 65, 160]
T+03:44:24 |   6   1   1   1  30  96   0   0   0 | [791, 65, 183]
T+03:45:23 |   6   1   1   1  42  96   0   0   0 | [806, 68, 165]
T+03:46:24 |   6   1   1   1   0  97   0   0   0 | [817, 68, 164]
T+03:47:23 |   6   1   1   1   0  98   0   0   0 | [841, 66, 160]
T+03:48:23 |   6   1   1   1   0  98   0   0   0 | [845, 67, 162]
T+03:49:24 |   6   1   1   1  13  98   0   0   0 | [774, 62, 193]
T+03:50:23 |   6  61   1  16  24  99   0   0   0 | [810, 70, 176]
T+03:51:23 |   6  69   1  17   8  99   0   0   0 | [772, 63, 186]
T+03:52:23 |   6  69   4  17  23  99   0   0   0 | [792, 65, 173]
T+03:53:24 |   6  69   1  17  38  99   0   0   0 | [787, 65, 176]
T+03:54:23 |   6  69   1  17  50  99   0   0   0 | [788, 65, 176]
T+03:55:23 |   6  69   2  17  61 100   0   0   0 | [773, 63, 161]
T+03:56:23 |   9  69   1  17  72 100   0   0   0 | [787, 63, 160]
T+03:57:23 |   9  69  10  17   2   2   0   0   0 | [830, 66, 177]
T+03:58:23 |   9   1   1   1  27  42   0   0   0 | [785, 63, 136]
T+03:59:24 |  13   1   1   1   4  54   0   0   0 | [782, 63, 196]
T+04:00:23 |  13   1   1   1  20  62   0   0   0 | [825, 66, 158]
T+04:01:23 |  17   1   1   1   6  69   0   0   0 | [807, 68, 173]
T+04:02:24 |  18   1   1   1  23  75   0   0   0 | [840, 64, 152]
T+04:03:23 |  18   1   1   1   8  80   0   0   0 | [806, 61, 132]
T+04:04:23 |  18   1   1   1  24  84   0   0   0 | [808, 70, 157]
T+04:05:24 |  22   1   1   1  39  87   0   0   0 | [837, 62, 146]
T+04:06:23 |  23   1   1   1  11  89   0   0   0 | [842, 66, 202]
T+04:07:23 |  23   1   1   1  10  91   0   0   0 | [842, 68, 200]
T+04:08:24 |  25   1   1   1  37  94   0   0   0 | [797, 65, 168]
T+04:09:23 |  28   1   1   1   0  95   0   0   0 | [843, 62, 164]
T+04:10:23 |  28  65   1  17  13  15   0   0   0 | [808, 69, 177]
T+04:11:24 |  33  69   1  17  24  27   0   0   0 | [793, 65, 171]
T+04:12:23 |  33  69   7  17  15  41   0   0   0 | [786, 65, 183]
T+04:13:23 |  36  69   1  17  29  52   0   0   0 | [777, 63, 186]
T+04:14:23 |  37  69   1  17  39  60   0   0   0 | [751, 63, 204]
T+04:15:24 |  37  69   1  17  48  66   0   0   0 | [775, 68, 175]
T+04:16:23 |  42  69   1  17  56  72   0   0   0 | [774, 65, 181]
T+04:17:23 |  42  69   1  17   8  78   0   0   0 | [805, 67, 167]
T+04:18:24 |  42   9   1   2  29  83   0   0   0 | [786, 65, 179]
T+04:19:23 |  47   1   1   1  18  87   0   0   0 | [788, 64, 157]
T+04:20:23 |  47   1   1   1   0  20   0   0   0 | [796, 66, 175]
T+04:21:24 |  47   1   1   1  18  36   0   0   0 | [785, 66, 179]
T+04:22:23 |  52   1   1   1  18  52   0   0   0 | [795, 64, 166]
T+04:23:23 |  52   1   1   1   8  62   0   0   0 | [813, 69, 179]
T+04:24:24 |  57   1   1   1  23  69   0   0   0 | [812, 70, 178]
T+04:25:23 |  57   1   1   1  36  75   0   0   0 | [789, 64, 175]
T+04:26:23 |  57   1   1   1  49  81   0   0   0 | [805, 67, 167]
T+04:27:23 |  61   1   1   1  57  84   0   0   0 | [804, 66, 165]
T+04:28:23 |  61   1   1   1  64  87   0   0   0 | [763, 68, 177]
T+04:29:24 |  65   1   1   1  71  90   0   0   0 | [720, 51, 206]
T+04:30:23 |  66  68   1  17  77  92   0   0   0 | [722, 64, 202]
T+04:31:23 |  66  69   1  17  82  94   0   0   0 | [738, 63, 211]
T+04:32:23 |  89  69   1  17  84  95   0   0   0 | [789, 66, 188]
T+04:33:24 |  89  69   1  17  87  96   0   0   0 | [783, 64, 182]
T+04:34:23 |  95  69   1  17  90  97   0   0   0 | [776, 63, 186]
T+04:35:23 |  95  69  10  17  11  22   0   0   0 | [719, 64, 201]
T+04:36:24 |  54  69   1  17   0  24   0   0   0 | [735, 63, 180]
T+04:37:23 |  54  69  11  17   8  13   0   0   0 | [753, 62, 192]
T+04:38:23 |  54  15   1   4   6  27   0   0   0 | [806, 68, 165]
T+04:39:24 |   6   1   1   1  20  32   0   0   0 | [836, 62, 145]
T+04:40:23 |   6   1   1   1  41  52   0   0   0 | [805, 67, 167]
T+04:41:23 |   6   1   1   1  53  63   0   0   0 | [811, 70, 158]
T+04:42:23 |   6   1   1   1  71  79   0   0   0 | [822, 66, 172]
T+04:43:23 |   6   1   1   1   4  82   0   0   0 | [842, 67, 201]
T+04:44:24 |   6   1   1   1  20  85   0   0   0 | [842, 67, 201]
T+04:45:23 |   6   1   1   1  10  15   0   0   0 | [810, 68, 205]
T+04:46:23 |   6   1   1   1  13  36   0   0   0 | [833, 66, 185]
T+04:47:24 |   6   1   1   1  30  50   0   0   0 | [743, 64, 179]
T+04:48:23 |   6   1   1   1  48  65   0   0   0 | [722, 64, 183]
T+04:49:24 |   6   1   1   1   4   4   0   0   0 | [735, 64, 182]
T+04:50:23 |   6  68   1  17  21  24   0   0   0 | [714, 64, 212]
T+04:51:23 |   6  69   1  17  10  38   0   0   0 | [799, 66, 172]
T+04:52:23 |   6  69   1  17  24  49   0   0   0 | [800, 64, 161]
T+04:53:24 |   6  69   1  17  11  58   0   0   0 | [805, 67, 169]
T+04:54:23 |   6  69   1  17  32  69   0   0   0 | [804, 66, 165]
T+04:55:23 |   6  69   1  17  44  75   0   0   0 | [788, 66, 186]
T+04:56:23 |   6  69   1  17   0  80   0   0   0 | [783, 65, 179]
